"ProjectName","StepTemplate"
"Xylect_INI_NOT_IN_USE","Deploy a Package"
"Xylect_INI_NOT_IN_USE","Deploy a Package"
"Xylect_INI_NOT_IN_USE","Octopus.Email"
"XylemWOE","Deploy a Package"
"OneStageAPI","Deploy a Package"
"ProductService","Deploy a Package"
"IndividualService","Deploy a Package"
"KitService","Deploy a Package"
"PartService","Deploy a Package"
"ServiceTool","Deploy a Package"
"MCharService","Deploy a Package"
"MCharService","Deploy a Package"
"Xylem Selector","Run a Script"
"Xylem Selector","Deploy a Package"
"Xylem Selector","Run a Script"
"Xylem Selector","Run a Script"
"Xylem Selector","Run a Script"
"Xylem Selector","Run a Script"
"Xylem Selector","Run a Script"
"Xylem Selector","Run a Script"
"X2TraceWeb","Deploy a Package"
"X2TraceRestService2019","Deploy to IIS"
"XOL-PumpCreator","Deploy a Package"
"XOL-PumpCreator","Run a Script"
"RealTime","Deploy a Package"
"TPIAdmin","Deploy a Package"
"X2TraceWebCore","Deploy a Package"
"Linda_internal_API","Deploy a Package"
"TPIAdminCore","Deploy a Package"
"Linda_Client_Internal","Deploy a Package"
"ProductSalesInformationApi","Deploy a Package"
"SludgeService","Deploy a Package"
"CAPT","Deploy a Package"
"CAPT","Run a Script"
"CAPT","Run a Script"
"CAPT","Run a Script"
"CAPT","Octopus.Email"
"OscarServer","Deploy a Package"
"Accessory Template API","Deploy a Package"
"BPCSTool","Deploy a Package"
"Xylem Selector Admin","Deploy a Package"
"Xylem Selector Admin","Run a Script"
"Xylem Selector Admin","Run a Script"
"Xylem Selector Admin","Run a Script"
"Xylem Selector Admin","Run a Script"
"VRT - Full Test Run","Deploy a Package"
"VRT - Full Test Run","Octopus.Email"
"PhoenixPoseidonProxy","Deploy a Package"
"Xylem Selector Dataload","Run a Script"
"Xylem Selector Dataload","Deploy a Package"
"Xylem Selector Dataload","Run a Script"
"WebOrderWizardSE","Deploy to IIS"
"XylectOnlineINI","Run a Script"
"XylectOnlineINI","Deploy a Package"
"XylectDesktopRelease","Run a Script"
"XylectDesktopRelease","Deploy a Package"
"XylectOnlineDesktopINI","Run a Script"
"XylectOnlineDesktopINI","Deploy a Package"
"OscarClient","Deploy a Package"
"Xylect_DAT","Deploy a Package"
"PerformanceServiceWeb","Deploy a Windows Service"
"DotNetFramwork","Deploy a Package"
"TreatmentSelect","Deploy a Package"
"XylectTemplate","Deploy a Package"
"XylectTemplate","Deploy a Package"
"X2TraceRestService","Deploy a Package"
"Microsoft_OLEDB_Driver_SQL","Deploy a Package"
"AM.UI","Deploy a Package"
"Web Phase 2 - Xylem.Website.Services","Deploy a Package"
"McharProffCheckService","Deploy a Package"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Deploy a Package"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector - 2019","Run a Script"
"Xylem Selector Admin - 2019","Deploy a Package"
"Xylem Selector Admin - 2019","Run a Script"
"Xylem Selector Admin - 2019","Run a Script"
"Xylem Selector Admin - 2019","Run a Script"
"Xylem Selector Admin - 2019","Run a Script"
"Security Token Service - 2019","Deploy a Package"
"XOL-Appbuilder - 2019","Deploy a Package"
"XOL-Appbuilder - 2019","Run a Script"
"XOL-Appbuilder - 2019","Run a Script"
"XOL-Appbuilder - 2019","Run a Script"
"XOL-DocGenUserExits - 2019","Run a Script"
"XOL-DocGenUserExits - 2019","Deploy a Package"
"XOL-DocGenUserExits - 2019","Deploy a Package"
"XOL-DocGenUserExits - 2019","Run a Script"
"XOL-Appbuilder","Deploy a Package"
"XOL-Appbuilder","Run a Script"
"XOL-Appbuilder","Run a Script"
"XOL-Appbuilder","Run a Script"
"XOL-PumpCreator - 2019","Deploy a Package"
"XOL-PumpCreator - 2019","Run a Script"
"XOL-UserRegistration - 2019","Deploy a Package"
"XOL-UserRegistration - 2019","Run a Script"
"XSG_API","Deploy a Package"
"OneStageQuickLoader","Deploy a Package"
"DotNetFramworkUpdate","Deploy a Package"
"DotNetFramworkUpdate","Deploy a Package"
"TPIAdminService","Deploy a Package"
"E-Access-France","Deploy a Package"
"XylectLandingPage","Deploy a Package"
"DataChange","Deploy a Package"
"MasterCustomer","Deploy a Package"
"IMC_SG","Deploy a Package"
"IMC_SG","Deploy a Package"
"AuburnPriceBook","Deploy a Package"
"AuburnPriceBook","Deploy a Package"
"CrestClientAdmin","Deploy a Package"
"CrestClientAdmin","Run a Script"
"CrestClientAdmin","Run a Script"
"CrestClientAdmin","Run a Script"
"CrestService","Run a Script"
"CrestService","Deploy a Package"
"CrestService","Run a Script"
"XpmfUI","Deploy a Package"
"Esp Rep Web Acct Mgmt","Deploy a Package"
"Esp Rep Web Acct Mgmt","Deploy a Package"
"Esp Rep Web Acct Mgmt","Deploy a Package"
"Esp Rep Web WS","Deploy a Package"
"Esp Rep Web WS","Deploy a Package"
"CheckListBuilder","Deploy a Package"
"CrestClientUser","Deploy a Package"
"CrestClientUser","Run a Script"
"CrestClientUser","Run a Script"
"CrestClientUser","Run a Script"
"Application Infrastructure - Documentation Deploy","Deploy a Package"
"Application Infrastructure - Documentation Deploy","Run a Script"
"CAPT_CHINA","Run a Script"
